Layer_i,Layer_j,AUC,Diff_P_N,AUC_abs
17,18,0.5822215,0.002634605467319494,0.08222149999999995
12,16,0.5821000000000001,0.010456680953502634,0.08210000000000006
19,20,0.5815355,0.004510975837707522,0.08153549999999998
11,12,0.5795520000000001,0.004960690677165994,0.07955200000000007
25,27,0.5793745,0.010082867145538327,0.07937450000000001
14,18,0.57929,0.007770951449871055,0.07928999999999997
22,26,0.579149,0.011750839233398452,0.07914900000000002
1,15,0.579004,0.014583903849124946,0.07900399999999996
4,11,0.578995,0.01062572026252745,0.07899500000000004
9,12,0.5789095,0.01008556520938872,0.07890949999999997
16,18,0.578507,0.004283084809780124,0.078507
1,14,0.578289,0.01383615261316301,0.07828900000000005
3,12,0.578217,0.012143865525722497,0.07821699999999998
15,17,0.5764050000000001,0.004119988799095149,0.07640500000000006
13,18,0.575021,0.009507362246513384,0.075021
20,21,0.574587,0.003741604864597327,0.07458699999999996
8,11,0.572454,0.008540748059749609,0.07245400000000002
2,13,0.5718610000000001,0.011817149817943573,0.07186100000000006
15,16,0.5714174999999999,0.002569389224052431,0.07141749999999991
21,23,0.5710505,0.005355395495891577,0.07105050000000002
21,22,0.5707845,0.003063860177993774,0.07078450000000003
7,11,0.5699394999999999,0.008143439114093792,0.06993949999999993
14,17,0.5694619999999999,0.005083736836910255,0.06946199999999991
3,11,0.5689440000000001,0.009864551186561599,0.06894400000000012
2,11,0.5688675,0.010146415114402785,0.06886749999999997
4,6,0.568351,0.005873670041561127,0.06835100000000005
22,25,0.5675395,0.006760693669319168,0.06753949999999997
13,17,0.5664875,0.006950848281383509,0.06648750000000003
14,16,0.5661930000000001,0.003849479258060451,0.06619300000000006
1,13,0.566174,0.010922771453857394,0.06617399999999996
2,12,0.5661505,0.010322392642498013,0.0661505
3,6,0.564651,0.008420792460441584,0.06465100000000001
1,11,0.561947,0.00910234379768371,0.061946999999999974
5,6,0.5617265,0.0024409313797950707,0.06172650000000002
13,16,0.5610225,0.0058202975988388,0.06102249999999998
23,26,0.560797,0.008962742567062365,0.06079699999999999
3,5,0.559201,0.006193844556808478,0.05920099999999995
16,17,0.5577685,0.0014180651903152458,0.0577685
2,6,0.557355,0.01024104285240171,0.057355000000000045
4,5,0.557134,0.0035517215728759766,0.05713400000000002
1,12,0.556923,0.0091034464240074,0.056922999999999946
27,29,0.5568739999999999,0.009173411846160884,0.05687399999999987
5,10,0.556617,0.005928262352943442,0.05661700000000003
9,11,0.5554565,0.005965879321098322,0.05545650000000002
3,7,0.5533049999999999,0.007938527464866646,0.053304999999999936
13,15,0.553161,0.0032948191165924068,0.053161000000000014
22,24,0.5530695,0.003971489667892458,0.05306949999999999
10,11,0.5519035,0.004751576125621798,0.05190349999999999
24,26,0.551773,0.0066334586739540125,0.05177299999999996
4,7,0.5514395000000001,0.006020863592624673,0.05143950000000008
2,7,0.550408,0.009286423444747893,0.05040800000000001
4,10,0.550097,0.005925174057483662,0.05009699999999995
6,10,0.549358,0.003973008394241334,0.04935800000000001
2,5,0.548633,0.008415567100048066,0.04863300000000004
27,28,0.5480955,0.00334217852354049,0.04809549999999996
14,15,0.547396,0.0012684443593025188,0.047395999999999994
25,26,0.547073,0.0038315274119377074,0.04707300000000003
1,6,0.5468665,0.008316200852394151,0.04686650000000003
30,31,0.546614,0.005788614451885221,0.046614000000000044
23,25,0.546218,0.003961738586425775,0.04621799999999998
